run_id;timestamp;accuracy;bal_acc;f1_macro;f1_weighted;n_samples;recall_c0;recall_c2;recall_c1;n_trades;return_pct;win_rate;sharpe;max_dd;wf_bal_acc;wf_f1;wf_f1_std;wf_f1_c0;wf_f1_c2;horizon;threshold;thresh_strategy;cw_boost;ecart_min;top_n_feat;tune;walk_forward;lag_features;time_weighting;lgb_n_est;lgb_lr;lgb_depth;lgb_leaves
xgb_baseline_v1_20260508_232728;;0,3155;0,375;0,2433;0,1967;561;0,273;0,852;0,0;561,0;867,3;59,2;3,202;-41,5;;;;;;;;;;;;;;;;;;;
xgb_baseline_v1_20260511_132630;2026-05-11 13:27:05;0,3451;0,3475;0,2355;0,2254;565;0,133;0,897;0,012;343,0;197,8;61,2;2,834;-17,2;0,362;0,286;0,084;0,14;0,448;3,0;[-0.008, 0.008];fixed;0:0.8 1:1 2:1.2;0,05;30,0;True;True;False;False;1276,0;0,1499;3,0;37,0
xgb_baseline_v1_20260511_141047;2026-05-11 14:12:07;0,3451;0,3475;0,2355;0,2254;565;0,133;0,897;0,012;343,0;197,8;61,2;2,834;-17,2;0,362;0,286;0,084;0,14;0,448;3,0;[-0.008, 0.008];fixed;0:0.8 1:1 2:1.2;0,05;30,0;True;True;False;False;1276,0;0,1499;3,0;37,0
xgb_baseline_v1_20260511_133900;2026-05-11 13:41:47;0,3735;0,3745;0,2619;0,2531;565;0,141;0,954;0,029;556,0;175,7;56,8;1,926;-46,3;0,362;0,286;0,084;0,14;0,448;3,0;[-0.008, 0.008];fixed;0:0.8 1:1 2:1.2;0,0;30,0;True;True;False;False;1623,0;0,172;3,0;50,0
xgb_baseline_v1_20260511_131211;2026-05-11 13:13:28;0,3451;0,3387;0,1975;0,1951;565;0,047;0,969;0,0;417,0;145,8;59,2;1,803;-45,3;0,375;0,307;0,043;0,161;0,411;3,0;[-0.008, 0.008];fixed;0:0.8 1:1 2:1.2;0,05;30,0;True;True;True;False;1128,0;0,031;4,0;85,0
xgb_baseline_v1_20260511_130935;2026-05-11 13:10:34;0,3522;0,3608;0,2454;0,2292;565;0,18;0,903;0,0;416,0;139,4;58,9;1,781;-46,3;0,349;0,265;0,058;0,171;0,397;3,0;[-0.008, 0.008];fixed;0:0.8 1:0.8 2:1.2;0,05;30,0;True;True;True;False;1126,0;0,0445;3,0;83,0
xgb_baseline_v1_20260510_190553;;0,4425;0,3333;0,2045;0,2715;565;0,0;1,0;0,0;565,0;144,2;57,5;1,707;-46,3;0,333;0,215;0,028;0,167;0,477;;;;;;;;;;;;;;
xgb_baseline_v1_20260511_132802;2026-05-11 13:28:38;0,3451;0,3475;0,2355;0,2254;565;0,133;0,897;0,012;561,0;141,5;56,3;1,688;-43,1;0,362;0,286;0,084;0,14;0,448;3,0;[-0.008, 0.008];fixed;0:0.8 1:1 2:1.2;0,0;30,0;True;True;False;False;1276,0;0,1499;3,0;37,0
xgb_baseline_v1_20260511_131524;2026-05-11 13:16:37;0,3451;0,3387;0,1975;0,1951;565;0,047;0,969;0,0;565,0;128,6;57,5;1,589;-46,3;0,375;0,307;0,043;0,161;0,411;3,0;[-0.008, 0.008];fixed;0:0.8 1:1 2:1.2;0,0;30,0;True;True;True;False;1128,0;0,031;4,0;85,0
xgb_baseline_v1_20260510_191058;;0,3487;0,3734;0,2701;0,2429;565;0,32;0,8;0,0;565,0;128,3;56,6;1,587;-52,7;0,337;0,233;0,044;0,233;0,401;;;;;;;;;;;;;;
xgb_baseline_v1_20260510_190739;;0,3487;0,3734;0,2701;0,2429;565;0,32;0,8;0,0;565,0;128,3;56,6;1,587;-52,7;0,337;0,233;0,044;0,233;0,401;;;;;;;;;;;;;;
xgb_baseline_v1_20260511_140017;2026-05-11 14:03:50;0,3646;0,3769;0,2833;0,2697;565;0,242;0,851;0,037;360,0;101,9;57,5;1,502;-40,6;0,374;0,306;0,042;0,16;0,408;3,0;[-0.008, 0.008];fixed;0:0.8 1:1 2:1.2;0,05;30,0;True;True;True;False;1996,0;0,067;3,0;49,0
xgb_baseline_v1_20260511_134316;2026-05-11 13:45:55;0,3735;0,3745;0,2619;0,2531;565;0,141;0,954;0,029;381,0;101,8;59,1;1,499;-44,4;0,362;0,286;0,084;0,14;0,448;3,0;[-0.008, 0.008];fixed;0:0.8 1:1 2:1.2;0,05;30,0;True;True;False;False;1623,0;0,172;3,0;50,0
xgb_baseline_v1_20260510_194048;;0,4212;0,4087;0,4028;0,423;565;0,289;0,549;0,388;394,0;85,1;54,6;1,277;-30,4;0,362;0,286;0,084;0,14;0,448;;;;;;;;;;;;;;
xgb_baseline_v1_20260511_150309;2026-05-11 15:05:35;0,354;0,3553;0,2805;0,2771;565;0,172;0,815;0,079;365,0;73,6;57,5;1,219;-45,8;0,389;0,352;0,061;0,151;0,455;3,0;[-0.008, 0.008];fixed;0:0.8 1:1 2:1.2;0,05;30,0;True;True;True;False;1003,0;0,1345;9,0;36,0
xgb_baseline_v1_20260511_140535;2026-05-11 14:06:56;0,3097;0,3354;0,2683;0,2553;565;0,352;0,605;0,05;260,0;3,1;50,0;0,166;-36,8;0,394;0,348;0,092;0,185;0,468;3,0;[-0.008, 0.008];fixed;0:0.8 1:1 2:1.2;0,05;30,0;True;True;False;True;1276,0;0,1499;3,0;37,0
xgb_baseline_v1_20260511_135247;2026-05-11 13:55:13;0,292;0,3178;0,231;0,2078;565;0,312;0,641;0,0;267,0;1,7;54,7;0,135;-42,6;0,368;0,295;0,088;0,162;0,44;3,0;[-0.008, 0.008];fixed;0:0.8 1:1 2:1.2;0,05;30,0;True;True;False;False;1358,0;0,0983;6,0;39,0
xgb_baseline_v1_20260510_192814;;0,2991;0,3706;0,2633;0,2498;565;0,844;0,082;0,186;472,0;-33,0;45,6;-0,609;-64,7;0,349;0,252;0,088;0,241;0,307;;;;;;;;;;;;;;
xgb_baseline_v1_20260508_224807;;0,3155;0,331;0,2703;0,3059;561;0,535;0,062;0,395;338,0;-73,3;42,0;-2,131;-82,3;;;;;;;;;;;;;;;;;;;
xgb_baseline_v1_20260508_223743;;0,3351;0,2785;0,2426;0,3041;561;0,253;0,034;0,549;220,0;-69,0;37,7;-2,521;-74,3;;;;;;;;;;;;;;;;;;;
xgb_baseline_v1_20260508_224703;;0,2121;0,3442;0,1554;0,1323;561;0,939;0,006;0,087;503,0;-91,6;38,6;-3,276;-94,5;;;;;;;;;;;;;;;;;;;
xgb_baseline_v1_20260508_223838;;0,2531;0,3328;0,2012;0,2118;561;0,768;0,0;0,231;429,0;-91,1;35,9;-3,563;-93,9;;;;;;;;;;;;;;;;;;;
xgb_baseline_v1_20260508_232855;;0,1783;0,3345;0,1025;0,0566;561;1,0;0,0;0,003;560,0;-94,7;37,5;-3,763;-96,5;;;;;;;;;;;;;;;;;;;
xgb_baseline_v1_20260509_000056;;0,672;0,5;0,4019;0,5402;561;1,0;0,0;;561,0;-94,7;37,4;-3,778;-96,6;0,533;0,464;0,133;0,63;0,298;;;;;;;;;;;;;;
xgb_baseline_v1_20260508_235358;;0,672;0,5;0,4019;0,5402;561;1,0;0,0;;561,0;-94,7;37,4;-3,778;-96,6;0,533;0,464;0,133;0,63;0,298;;;;;;;;;;;;;;
xgb_baseline_v1_20260508_235927;;0,672;0,5;0,4019;0,5402;561;1,0;0,0;;561,0;-94,7;37,4;-3,778;-96,6;0,533;0,464;0,133;0,63;0,298;;;;;;;;;;;;;;
xgb_baseline_v1_20260508_235822;;0,672;0,5;0,4019;0,5402;561;1,0;0,0;;561,0;-94,7;37,4;-3,778;-96,6;0,533;0,464;0,133;0,63;0,298;;;;;;;;;;;;;;
xgb_baseline_v1_20260508_235635;;0,672;0,5;0,4019;0,5402;561;1,0;0,0;;561,0;-94,7;37,4;-3,778;-96,6;0,533;0,464;0,133;0,63;0,298;;;;;;;;;;;;;;
xgb_baseline_v1_20260508_235223;;0,672;0,5;0,4019;0,5402;561;1,0;0,0;;;;;;;0,533;0,464;0,133;0,63;0,298;;;;;;;;;;;;;;
